iter	MultiClass
0	2.745863817
1	2.718679092
2	2.69577311
3	2.669226332
4	2.653095894
5	2.632688631
6	2.606249761
7	2.583191341
8	2.558127738
9	2.538870917
10	2.517459722
11	2.498582166
12	2.476856157
13	2.454550378
14	2.429903184
15	2.404763051
16	2.381096148
17	2.357529684
18	2.334156027
19	2.313066841
20	2.289403627
21	2.266452094
22	2.246183527
23	2.222935701
24	2.200971635
25	2.183652721
26	2.162723931
27	2.141351959
28	2.119596571
29	2.098381265
30	2.076368578
31	2.055625588
32	2.035179202
33	2.013133304
34	1.991291777
35	1.972191223
36	1.953273157
37	1.934064312
38	1.912827854
39	1.902937723
40	1.883317092
41	1.862509835
42	1.842279304
43	1.822116596
44	1.801750087
45	1.783003803
46	1.766737017
47	1.748471393
48	1.729379525
49	1.711374993
50	1.693300064
51	1.675235506
52	1.65766934
53	1.639674292
54	1.624892297
55	1.607475693
56	1.589937104
57	1.572655943
58	1.555550601
59	1.538479456
60	1.521607373
61	1.505471558
62	1.489237196
63	1.473283048
64	1.457553601
65	1.441375748
66	1.425522263
67	1.410456913
68	1.395905478
69	1.380564575
70	1.36572307
71	1.351007528
72	1.336960432
73	1.322215496
74	1.310030457
75	1.296753547
76	1.283550168
77	1.269769006
78	1.256754518
79	1.243467261
80	1.230570037
81	1.217738666
82	1.204886237
83	1.192161712
84	1.179664164
85	1.16721485
86	1.155379458
87	1.143437259
88	1.131367896
89	1.119717151
90	1.108577335
91	1.097190644
92	1.086523959
93	1.076620699
94	1.065586482
95	1.054609575
96	1.045763849
97	1.035642326
98	1.025031592
99	1.015034971
